comment,label
"I think the order is fine, nothing special either way.",neutral
"the website is disappointing, not what I needed at all.",negative
"I regret buying this, complete waste of money",negative
Overpriced for such a low quality item,negative
"So pleased with the website, it was great from start to finish.",positive
"My experience with the product was adequate, no major issues.",neutral
"What an fantastic experience with this item, thank you!",positive
the packaging worked perfectly and the experience was fabulous.,positive
"So disappointed with the order, it was awful from start to finish.",negative
"Honestly the product is typical, works as described.",neutral
"So pleased with the service, it was impressive from start to finish.",positive
the packaging performed in an standard way overall.,neutral
"I think this device is awful, very unhappy with it.",negative
the subscription worked perfectly and the experience was excellent.,positive
"the website was superb, exceeded all my expectations.",positive
"Used this app a few times, it felt average.",neutral
I have used it a couple of times so far,neutral
"So pleased with the staff, it was amazing from start to finish.",positive
"this item is terrible, not what I needed at all.",negative
"the software is acceptable, still deciding if I like it.",neutral
"the product was adequate, met basic expectations.",neutral
"I think the packaging is broken, very unhappy with it.",negative
"Honestly the store is typical, works as described.",neutral
"Used the staff a few times, it felt reasonable.",neutral
"Honestly the store is frustrating, would not recommend to anyone.",negative
"Used the store a few times, it felt standard.",neutral
"the staff was broken, completely failed my expectations.",negative
"Honestly the delivery is standard, works as described.",neutral
The box included a warranty card and receipt,neutral
"this app is ordinary, still deciding if I like it.",neutral
the service worked perfectly and the experience was flawless.,positive
"this device is ordinary, still deciding if I like it.",neutral
"this item is reasonable, still deciding if I like it.",neutral
the update did not work and the experience was awful.,negative
I am impressed with the attention to detail,positive
"I love this product, it works perfectly",positive
"Used the product a few times, it felt ordinary.",neutral
"Really happy with this purchase, works great",positive
"So pleased with the service, it was fabulous from start to finish.",positive
"Really enjoyed using this device, it felt top-notch.",positive
"My experience with this app was adequate, no major issues.",neutral
"the software was mediocre, completely failed my expectations.",negative
"What an amazing experience with the support team, thank you!",positive
"What an reliable experience with this app, thank you!",positive
"Really regret using the order, it felt horrible.",negative
the packaging worked perfectly and the experience was fantastic.,positive
"My experience with this item was acceptable, no major issues.",neutral
"What an amazing experience with this item, thank you!",positive
"I think the store is ordinary, nothing special either way.",neutral
"Really regret using the support team, it felt unreliable.",negative
"the order is terrible, not what I needed at all.",negative
Love the design and how smooth it feels,positive
"It stopped working within a week, very frustrating",negative
"the product is unacceptable, not what I needed at all.",negative
"Great quality for the price, very satisfied",positive
"So pleased with the staff, it was wonderful from start to finish.",positive
the product worked perfectly and the experience was amazing.,positive
"Perfect fit, works better than I imagined",positive
"My experience with the delivery was acceptable, no major issues.",neutral
the update performed in an standard way overall.,neutral
"the support team is broken, not what I needed at all.",negative
"So pleased with the product, it was great from start to finish.",positive
"the website was fantastic, exceeded all my expectations.",positive
"I think the website is impressive, I'm really happy with it.",positive
"Best purchase I've made this year, highly recommend",positive
the product performed in an fine way overall.,neutral
the order performed in an unremarkable way overall.,neutral
"What an top-notch experience with the order, thank you!",positive
I received the item yesterday,neutral
"the update is adequate, still deciding if I like it.",neutral
"So disappointed with the delivery, it was frustrating from start to finish.",negative
I want my money back immediately,negative
"the order was unacceptable, completely failed my expectations.",negative
"this device was okay, met basic expectations.",neutral
"I think the store is okay, nothing special either way.",neutral
"What a frustrating experience with the software, very frustrating!",negative
"the store was okay, met basic expectations.",neutral
"Honestly the update is superb, will recommend to everyone.",positive
"I think the software is fantastic, I'm really happy with it.",positive
"So pleased with the packaging, it was wonderful from start to finish.",positive
the website did not work and the experience was unacceptable.,negative
"the packaging is unremarkable, still deciding if I like it.",neutral
"this device was acceptable, met basic expectations.",neutral
"Honestly the update is poor, would not recommend to anyone.",negative
"Honestly the website is disappointing, would not recommend to anyone.",negative
"So disappointed with the store, it was frustrating from start to finish.",negative
"the delivery was frustrating, completely failed my expectations.",negative
"this item is standard, similar to other options out there.",neutral
"What an fantastic experience with this device, thank you!",positive
the service did not work and the experience was unreliable.,negative
"the order is amazing, exactly what I needed.",positive
It performs as expected for this price point,neutral
"My experience with the update was acceptable, no major issues.",neutral
The instructions were confusing and unhelpful,negative
"I think the store is unacceptable, very unhappy with it.",negative
"My experience with the order was typical, no major issues.",neutral
"What an fantastic experience with the update, thank you!",positive
"Really enjoyed using the support team, it felt excellent.",positive
"It is neither good nor bad, just average",neutral
"Honestly the subscription is unacceptable, would not recommend to anyone.",negative
the subscription performed in an average way overall.,neutral
"My experience with the support team was okay, no major issues.",neutral
"So disappointed with the store, it was useless from start to finish.",negative
the website performed in an unremarkable way overall.,neutral
"Honestly the packaging is ordinary, works as described.",neutral
"the delivery was top-notch, exceeded all my expectations.",positive
the order performed in an average way overall.,neutral
"The service was okay, nothing memorable",neutral
"Honestly the store is broken, would not recommend to anyone.",negative
"Honestly the subscription is disappointing, would not recommend to anyone.",negative
"the packaging was broken, completely failed my expectations.",negative
"the staff is adequate, still deciding if I like it.",neutral
"What an top-notch experience with the software, thank you!",positive
"I think this app is typical, nothing special either way.",neutral
This is a fairly typical experience overall,neutral
Horrible experience from beginning to end,negative
"the service was frustrating, completely failed my expectations.",negative
"Terrible customer service, will not shop here again",negative
"this app is fantastic, exactly what I needed.",positive
the store performed in an unremarkable way overall.,neutral
"Worst experience ever, I want a refund",negative
"Really enjoyed using the website, it felt top-notch.",positive
"I think the staff is fantastic, I'm really happy with it.",positive
"I think this app is useless, very unhappy with it.",negative
"Highly satisfied, will recommend to friends",positive
"Used the support team a few times, it felt unremarkable.",neutral
"So disappointed with the packaging, it was broken from start to finish.",negative
"What an superb experience with the order, thank you!",positive
"Amazing service, will definitely buy again",positive
It looks similar to other products in this category,neutral
the staff did not work and the experience was frustrating.,negative
Their customer service resolved my issue instantly,positive
the website did not work and the experience was awful.,negative
the support team did not work and the experience was slow.,negative
"the service is ordinary, similar to other options out there.",neutral
"Used the delivery a few times, it felt ordinary.",neutral
I used it a few times so far,neutral
"Fantastic value for money, exceeded expectations",positive
"Really regret using the website, it felt poor.",negative
"the product was mediocre, completely failed my expectations.",negative
the software performed in an unremarkable way overall.,neutral
"this item was unremarkable, met basic expectations.",neutral
"So pleased with the order, it was reliable from start to finish.",positive
"this item is horrible, not what I needed at all.",negative
"Honestly the order is fine, works as described.",neutral
I am still testing this out before forming an opinion,neutral
"Honestly the delivery is flawless, will recommend to everyone.",positive
"the software is standard, similar to other options out there.",neutral
the packaging did not work and the experience was awful.,negative
"So pleased with the update, it was wonderful from start to finish.",positive
"this item is fine, similar to other options out there.",neutral
the software performed in an standard way overall.,neutral
I have not decided if I like this yet,neutral
Such a disappointing and frustrating experience,negative
this item worked perfectly and the experience was outstanding.,positive
"Really enjoyed using the delivery, it felt excellent.",positive
"Really enjoyed using the packaging, it felt flawless.",positive
"I think the order is great, I'm really happy with it.",positive
"the staff was adequate, met basic expectations.",neutral
This is the worst purchase I have made,negative
"Used the service a few times, it felt adequate.",neutral
"the product is useless, not what I needed at all.",negative
"What a horrible experience with the software, very frustrating!",negative
"I think the order is frustrating, very unhappy with it.",negative
"Really regret using the update, it felt disappointing.",negative
The order was processed within a normal timeframe,neutral
the software worked perfectly and the experience was top-notch.,positive
"Honestly the software is adequate, works as described.",neutral
"the subscription is unacceptable, not what I needed at all.",negative
"the support team was impressive, exceeded all my expectations.",positive
"Used the support team a few times, it felt fine.",neutral
"Used the software a few times, it felt standard.",neutral
Support team was rude and unhelpful,negative
"Honestly this app is poor, would not recommend to anyone.",negative
"the staff is typical, still deciding if I like it.",neutral
The app keeps crashing every time I open it,negative
"Really enjoyed using the order, it felt wonderful.",positive
The item matches the specifications listed online,neutral
This is exactly what I was looking for,positive
"Honestly the delivery is unacceptable, would not recommend to anyone.",negative
"What a broken experience with the store, very frustrating!",negative
"the order was okay, met basic expectations.",neutral
"the support team was typical, met basic expectations.",neutral
"the delivery is useless, not what I needed at all.",negative
"Really regret using this item, it felt poor.",negative
"Really regret using the store, it felt unacceptable.",negative
"Honestly this app is outstanding, will recommend to everyone.",positive
"I think this app is frustrating, very unhappy with it.",negative
"the website was awful, completely failed my expectations.",negative
"Awful build quality, fell apart quickly",negative
"the delivery is typical, still deciding if I like it.",neutral
The quality is outstanding for this price range,positive
"What an fabulous experience with the support team, thank you!",positive
"this device is unremarkable, similar to other options out there.",neutral
"the delivery is okay, similar to other options out there.",neutral
"I think the software is flawless, I'm really happy with it.",positive
"Honestly this app is broken, would not recommend to anyone.",negative
"this device was reasonable, met basic expectations.",neutral
this item did not work and the experience was mediocre.,negative
"My experience with the update was average, no major issues.",neutral
the website worked perfectly and the experience was amazing.,positive
"What an fabulous experience with the website, thank you!",positive
"Really regret using the update, it felt poor.",negative
"the packaging is reliable, exactly what I needed.",positive
the software did not work and the experience was unreliable.,negative
Customer support was very helpful and friendly,positive
"I think the subscription is frustrating, very unhappy with it.",negative
"Really regret using the store, it felt broken.",negative
"Honestly the software is mediocre, would not recommend to anyone.",negative
"I'm disappointed with the quality, not worth the price",negative
"Honestly the store is poor, would not recommend to anyone.",negative
"this item is disappointing, not what I needed at all.",negative
the delivery worked perfectly and the experience was reliable.,positive
the website did not work and the experience was terrible.,negative
Customer support never responded to my emails,negative
"the order is fantastic, exactly what I needed.",positive
"So glad I bought this, it changed my routine for the better",positive
"This made my life so much easier, thank you",positive
"I think the delivery is wonderful, I'm really happy with it.",positive
"Great job by the support team, very responsive",positive
"Honestly the support team is fine, works as described.",neutral
"the website was amazing, exceeded all my expectations.",positive
"Really enjoyed using the software, it felt superb.",positive
"this item is adequate, similar to other options out there.",neutral
"the order was awful, completely failed my expectations.",negative
"What a poor experience with the service, very frustrating!",negative
"So pleased with the delivery, it was superb from start to finish.",positive
"the packaging was fantastic, exceeded all my expectations.",positive
"the subscription is broken, not what I needed at all.",negative
"the update was reasonable, met basic expectations.",neutral
"My experience with the delivery was average, no major issues.",neutral
"I think the subscription is reliable, I'm really happy with it.",positive
"So disappointed with this app, it was unacceptable from start to finish.",negative
The service was terrible and slow,negative
"the product is fantastic, exactly what I needed.",positive
"Honestly this app is frustrating, would not recommend to anyone.",negative
"the order is wonderful, exactly what I needed.",positive
"the update is frustrating, not what I needed at all.",negative
"the subscription is average, still deciding if I like it.",neutral
the staff performed in an okay way overall.,neutral
"the support team was wonderful, exceeded all my expectations.",positive
"So pleased with the store, it was excellent from start to finish.",positive
I will use it and see how it performs over time,neutral
Everything about this experience was positive,positive
"the store was terrible, completely failed my expectations.",negative
"What an superb experience with the website, thank you!",positive
"What a mediocre experience with this app, very frustrating!",negative
Delivery was very late and the box was damaged,negative
the order did not work and the experience was frustrating.,negative
"Honestly the software is fine, works as described.",neutral
"So disappointed with the support team, it was disappointing from start to finish.",negative
"Used the delivery a few times, it felt fine.",neutral
"I think the order is broken, very unhappy with it.",negative
"The app is so easy to use, love the new update",positive
This product broke after just two days of use,negative
The staff were kind and the service was quick,positive
"the website is okay, still deciding if I like it.",neutral
"So pleased with the product, it was top-notch from start to finish.",positive
this device did not work and the experience was unreliable.,negative
"this app was superb, exceeded all my expectations.",positive
"the packaging is top-notch, exactly what I needed.",positive
this device worked perfectly and the experience was fantastic.,positive
"Honestly the delivery is unreliable, would not recommend to anyone.",negative
"What an reliable experience with the store, thank you!",positive
"It works as described, nothing special",neutral
"Really regret using the delivery, it felt useless.",negative
"Honestly the service is okay, works as described.",neutral
"Really regret using this app, it felt frustrating.",negative
This works fine for basic everyday use,neutral
"this device is ordinary, similar to other options out there.",neutral
"Used the website a few times, it felt standard.",neutral
"I think the product is frustrating, very unhappy with it.",negative
This company does not care about its customers,negative
"The interface is clean and intuitive, well designed",positive
the product worked perfectly and the experience was fantastic.,positive
This is a standard product with typical features,neutral
the order did not work and the experience was poor.,negative
"It does the job, average performance overall",neutral
"the service was wonderful, exceeded all my expectations.",positive
"Honestly the packaging is mediocre, would not recommend to anyone.",negative
The manual explains how to set it up,neutral
"the store is poor, not what I needed at all.",negative
"the subscription was broken, completely failed my expectations.",negative
"I think the packaging is ordinary, nothing special either way.",neutral
"the update is fine, similar to other options out there.",neutral
"I think the delivery is horrible, very unhappy with it.",negative
"Used this app a few times, it felt standard.",neutral
"I think this item is impressive, I'm really happy with it.",positive
"the website is wonderful, exactly what I needed.",positive
"I think the order is superb, I'm really happy with it.",positive
"Used the website a few times, it felt reasonable.",neutral
"My experience with the service was typical, no major issues.",neutral
"This exceeded my expectations, absolutely fantastic",positive
"Honestly the website is outstanding, will recommend to everyone.",positive
"Used the update a few times, it felt okay.",neutral
"I think the store is standard, nothing special either way.",neutral
"What a frustrating experience with the service, very frustrating!",negative
"My experience with the website was unremarkable, no major issues.",neutral
"What a slow experience with the delivery, very frustrating!",negative
"I think the packaging is mediocre, very unhappy with it.",negative
"Really regret using the order, it felt unacceptable.",negative
"the packaging is fantastic, exactly what I needed.",positive
"Honestly the update is flawless, will recommend to everyone.",positive
"So pleased with the staff, it was excellent from start to finish.",positive
"Really enjoyed using the packaging, it felt reliable.",positive
"My experience with the order was adequate, no major issues.",neutral
"I think the service is adequate, nothing special either way.",neutral
the service worked perfectly and the experience was fantastic.,positive
"the product is typical, similar to other options out there.",neutral
"Really regret using the packaging, it felt mediocre.",negative
"It has basic features, nothing extra",neutral
"Honestly the subscription is adequate, works as described.",neutral
"I think the delivery is unremarkable, nothing special either way.",neutral
"So pleased with the staff, it was fantastic from start to finish.",positive
"What an amazing experience with the delivery, thank you!",positive
"Honestly this device is typical, works as described.",neutral
"I think the order is top-notch, I'm really happy with it.",positive
The quality control here is clearly lacking,negative
"Really enjoyed using this app, it felt reliable.",positive
"What an wonderful experience with the update, thank you!",positive
the update worked perfectly and the experience was amazing.,positive
"I think this item is fantastic, I'm really happy with it.",positive
"Honestly this item is amazing, will recommend to everyone.",positive
"Really enjoyed using the software, it felt flawless.",positive
"My experience with the staff was ordinary, no major issues.",neutral
"the service is mediocre, not what I needed at all.",negative
this app performed in an okay way overall.,neutral
"The material feels okay, not too special",neutral
"My experience with the product was fine, no major issues.",neutral
"Used the support team a few times, it felt acceptable.",neutral
"Excellent build quality, feels premium",positive
"My experience with the staff was okay, no major issues.",neutral
"Really enjoyed using the staff, it felt amazing.",positive
"the update is average, still deciding if I like it.",neutral
"Really regret using the staff, it felt poor.",negative
the packaging performed in an average way overall.,neutral
"So pleased with the store, it was wonderful from start to finish.",positive
"So pleased with the software, it was impressive from start to finish.",positive
This was a huge waste of time and money,negative
the product did not work and the experience was terrible.,negative
"the update is mediocre, not what I needed at all.",negative
"I think the service is great, I'm really happy with it.",positive
"the order was frustrating, completely failed my expectations.",negative
The delivery was super fast and the packaging was great,positive
"the product is broken, not what I needed at all.",negative
this device worked perfectly and the experience was excellent.,positive
the update did not work and the experience was slow.,negative
"the packaging was impressive, exceeded all my expectations.",positive
"I think the service is frustrating, very unhappy with it.",negative
"The size is standard, matches the description",neutral
The product looks nothing like the pictures,negative
"What a unacceptable experience with the packaging, very frustrating!",negative
"Honestly the delivery is terrible, would not recommend to anyone.",negative
"I think the order is okay, nothing special either way.",neutral
the delivery did not work and the experience was mediocre.,negative
"the product was fabulous, exceeded all my expectations.",positive
The color is slightly different from the picture,neutral
Wonderful experience from start to finish,positive
"the staff was frustrating, completely failed my expectations.",negative
the subscription did not work and the experience was unreliable.,negative
"Used this app a few times, it felt typical.",neutral
Super happy with how fast this arrived,positive
The price is about the same as competitors,neutral
"What an outstanding experience with the software, thank you!",positive
"the website was ordinary, met basic expectations.",neutral
"What an flawless experience with the software, thank you!",positive
The setup process took about ten minutes,neutral
"the software was fine, met basic expectations.",neutral
"the product is awful, not what I needed at all.",negative
The product is functional but unremarkable,neutral
"this app is horrible, not what I needed at all.",negative
"the store is useless, not what I needed at all.",negative
"this app was reliable, exceeded all my expectations.",positive
"Honestly the software is fabulous, will recommend to everyone.",positive
"the website is fine, still deciding if I like it.",neutral
"the support team is impressive, exactly what I needed.",positive
"Honestly the subscription is impressive, will recommend to everyone.",positive
this device worked perfectly and the experience was amazing.,positive
Top notch quality and fast shipping,positive
"Honestly the subscription is acceptable, works as described.",neutral
the update worked perfectly and the experience was wonderful.,positive
the website performed in an ordinary way overall.,neutral
"I think the website is outstanding, I'm really happy with it.",positive
"Honestly the order is outstanding, will recommend to everyone.",positive
"Completely useless, does not work at all",negative
"Really enjoyed using the store, it felt top-notch.",positive
"the store was fabulous, exceeded all my expectations.",positive
"the subscription is useless, not what I needed at all.",negative
Extremely slow response from the support team,negative
"I think the packaging is disappointing, very unhappy with it.",negative
"the software is impressive, exactly what I needed.",positive
"Poor packaging, item arrived broken",negative
"What an top-notch experience with the service, thank you!",positive
this device did not work and the experience was frustrating.,negative
"Honestly the support team is standard, works as described.",neutral
"Honestly the packaging is slow, would not recommend to anyone.",negative
"Honestly the staff is awful, would not recommend to anyone.",negative
"Honestly the support team is unremarkable, works as described.",neutral
"the product was excellent, exceeded all my expectations.",positive
"My experience with the update was ordinary, no major issues.",neutral
"I think this device is broken, very unhappy with it.",negative
The product arrived on time,neutral
"I think the update is poor, very unhappy with it.",negative
"the website was reliable, exceeded all my expectations.",positive
I am so frustrated with this defective item,negative
The item was damaged during shipping and no one helped,negative
"Honestly this app is superb, will recommend to everyone.",positive
"Really enjoyed using the subscription, it felt great.",positive
"Really regret using the store, it felt horrible.",negative
"the staff was acceptable, met basic expectations.",neutral
"Honestly this app is fine, works as described.",neutral
"this item was terrible, completely failed my expectations.",negative
"Really regret using the store, it felt slow.",negative
"the store is acceptable, similar to other options out there.",neutral
the delivery worked perfectly and the experience was flawless.,positive
The packaging was simple but adequate,neutral
The website is buggy and hard to navigate,negative
I ordered this last week for my office,neutral
"Used the software a few times, it felt unremarkable.",neutral
"What an top-notch experience with the subscription, thank you!",positive
"Used the order a few times, it felt reasonable.",neutral
"Honestly the packaging is frustrating, would not recommend to anyone.",negative
the update performed in an average way overall.,neutral
"the website was average, met basic expectations.",neutral
"Honestly the subscription is standard, works as described.",neutral
"the staff was great, exceeded all my expectations.",positive
"Honestly the software is excellent, will recommend to everyone.",positive
Never buying from this company again,negative
"My experience with the subscription was acceptable, no major issues.",neutral
Absolutely delighted with this purchase,positive
"What a mediocre experience with the update, very frustrating!",negative
"I think the product is acceptable, nothing special either way.",neutral
"My experience with the update was fine, no major issues.",neutral
"Really regret using the product, it felt slow.",negative
I would not recommend this to anyone,negative
"the website is standard, still deciding if I like it.",neutral
"My experience with the order was unremarkable, no major issues.",neutral
"the store was acceptable, met basic expectations.",neutral
I am extremely pleased with the results,positive
"What a terrible experience with this app, very frustrating!",negative
"the store was useless, completely failed my expectations.",negative
"the staff is mediocre, not what I needed at all.",negative
"the product is poor, not what I needed at all.",negative
"I think the support team is top-notch, I'm really happy with it.",positive
"Used the order a few times, it felt fine.",neutral
"So pleased with the order, it was excellent from start to finish.",positive
"What a useless experience with the store, very frustrating!",negative
"I think the software is excellent, I'm really happy with it.",positive
"So disappointed with this app, it was unreliable from start to finish.",negative
"So disappointed with this item, it was terrible from start to finish.",negative
"Honestly the packaging is unreliable, would not recommend to anyone.",negative
"the store is reasonable, similar to other options out there.",neutral
"the product was amazing, exceeded all my expectations.",positive
the support team did not work and the experience was horrible.,negative
"Honestly the staff is reliable, will recommend to everyone.",positive
the product performed in an typical way overall.,neutral
"the website is okay, similar to other options out there.",neutral
"this item is useless, not what I needed at all.",negative
"Honestly the update is average, works as described.",neutral
"What an fabulous experience with the subscription, thank you!",positive
"the website was typical, met basic expectations.",neutral
It came with a short user guide,neutral
"Five stars, everything worked as promised",positive
"My experience with the subscription was reasonable, no major issues.",neutral
"My experience with the software was okay, no major issues.",neutral
"So pleased with the website, it was fabulous from start to finish.",positive
